               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  61,            0.022797,            0.011326,                   0,             0.97042,             0.97537,             0.98639,             0.69532,            0.013106,           0.0059589,                   0,           0.0062875,           0.0062875,           0.0062875
                  62,            0.020925,            0.010755,                   0,             0.96072,             0.96552,             0.98151,             0.71675,            0.013372,           0.0059543,                   0,           0.0062256,           0.0062256,           0.0062256
                  63,            0.019475,             0.01075,                   0,             0.96071,             0.96552,              0.9824,             0.73448,            0.012834,           0.0056535,                   0,           0.0061637,           0.0061637,           0.0061637
                  64,            0.022197,            0.010952,                   0,             0.97057,             0.97537,               0.987,              0.7425,            0.012441,           0.0054629,                   0,           0.0061019,           0.0061019,           0.0061019
                  65,            0.021185,            0.010928,                   0,                0.98,             0.96543,             0.98943,             0.73274,            0.013278,            0.005664,                   0,             0.00604,             0.00604,             0.00604
                  66,            0.020644,            0.010567,                   0,              0.9655,             0.96552,              0.9774,             0.73519,            0.012735,           0.0055875,                   0,           0.0059781,           0.0059781,           0.0059781
                  67,            0.019205,            0.010677,                   0,             0.95609,             0.96536,              0.9802,             0.71249,            0.013168,           0.0058843,                   0,           0.0059163,           0.0059163,           0.0059163
                  68,            0.019929,            0.010265,                   0,             0.93833,             0.97537,              0.9855,             0.72874,            0.013317,           0.0058275,                   0,           0.0058544,           0.0058544,           0.0058544
                  69,            0.020354,             0.01094,                   0,             0.97014,             0.96552,             0.97837,             0.73066,             0.01295,           0.0058471,                   0,           0.0057925,           0.0057925,           0.0057925
                  70,            0.018898,            0.010422,                   0,              0.9697,             0.94577,             0.97411,             0.70278,            0.013816,           0.0062526,                   0,           0.0057306,           0.0057306,           0.0057306
                  71,            0.019849,            0.010471,                   0,             0.95609,             0.96543,             0.97613,             0.71504,            0.013231,           0.0058654,                   0,           0.0056688,           0.0056688,           0.0056688
                  72,            0.019739,            0.010352,                   0,             0.97999,             0.96552,             0.98648,             0.70794,            0.012342,           0.0058327,                   0,           0.0056069,           0.0056069,           0.0056069
                  73,            0.019918,            0.010278,                   0,             0.96992,             0.95567,             0.98421,             0.71408,            0.012764,           0.0060783,                   0,            0.005545,            0.005545,            0.005545
                  74,            0.019794,              0.0105,                   0,             0.96594,              0.9803,             0.98813,             0.71913,            0.012947,           0.0058263,                   0,           0.0054831,           0.0054831,           0.0054831
                  75,            0.018962,            0.010418,                   0,             0.97015,             0.96055,             0.97773,             0.71669,            0.013267,           0.0057968,                   0,           0.0054212,           0.0054212,           0.0054212
                  76,            0.018992,            0.010674,                   0,             0.96059,             0.96051,              0.9812,             0.72338,            0.013727,           0.0055745,                   0,           0.0053594,           0.0053594,           0.0053594
                  77,            0.019683,            0.010485,                   0,             0.97449,             0.94085,             0.98319,              0.7278,            0.013247,           0.0057687,                   0,           0.0052975,           0.0052975,           0.0052975
                  78,            0.018935,             0.01003,                   0,               0.965,             0.95073,             0.98283,             0.71738,            0.013156,           0.0057568,                   0,           0.0052356,           0.0052356,           0.0052356
                  79,            0.019253,             0.01011,                   0,             0.99012,             0.99015,             0.99222,             0.71155,            0.012725,           0.0057351,                   0,           0.0051737,           0.0051737,           0.0051737
                  80,            0.018946,            0.010378,                   0,              0.9901,             0.98516,             0.99358,             0.71254,            0.012678,           0.0058675,                   0,           0.0051119,           0.0051119,           0.0051119
                  81,            0.018889,            0.010027,                   0,             0.97512,             0.96542,             0.99008,             0.71593,             0.01296,           0.0061339,                   0,             0.00505,             0.00505,             0.00505
                  82,            0.020057,            0.010659,                   0,              0.9751,             0.96552,             0.98538,             0.72323,            0.013033,           0.0060542,                   0,           0.0049881,           0.0049881,           0.0049881
                  83,            0.019645,            0.010933,                   0,             0.96499,             0.95074,             0.97228,             0.72041,             0.01302,           0.0060394,                   0,           0.0049263,           0.0049263,           0.0049263
                  84,            0.018379,           0.0099466,                   0,             0.98018,             0.97537,             0.98344,             0.72501,             0.01276,           0.0058831,                   0,           0.0048644,           0.0048644,           0.0048644
                  85,            0.017745,           0.0099555,                   0,             0.97509,             0.96552,             0.98201,             0.72759,             0.01308,           0.0060463,                   0,           0.0048025,           0.0048025,           0.0048025
                  86,            0.018612,            0.010006,                   0,             0.97057,             0.97537,             0.98812,             0.72961,            0.012978,           0.0060406,                   0,           0.0047406,           0.0047406,           0.0047406
                  87,            0.018377,            0.010117,                   0,             0.97509,             0.97044,             0.98574,             0.71987,            0.013367,           0.0064208,                   0,           0.0046788,           0.0046788,           0.0046788
                  88,            0.016373,           0.0096742,                   0,             0.97997,             0.96552,             0.98018,             0.71267,            0.013299,           0.0062571,                   0,           0.0046169,           0.0046169,           0.0046169
                  89,            0.018281,             0.01032,                   0,             0.97044,             0.97044,             0.98569,             0.72158,            0.012777,           0.0056008,                   0,            0.004555,            0.004555,            0.004555
                  90,            0.018207,           0.0094376,                   0,             0.97083,             0.98522,             0.99194,             0.72971,            0.012979,           0.0057671,                   0,           0.0044931,           0.0044931,           0.0044931
                  91,             0.01793,           0.0094617,                   0,             0.97073,             0.98025,             0.99004,             0.73078,            0.012929,           0.0057521,                   0,           0.0044313,           0.0044313,           0.0044313
                  92,            0.016591,           0.0096253,                   0,             0.97537,             0.97533,             0.98843,             0.73505,            0.012887,            0.005688,                   0,           0.0043694,           0.0043694,           0.0043694
                  93,            0.016771,           0.0095349,                   0,             0.97537,             0.97532,             0.98367,             0.73251,             0.01238,           0.0057259,                   0,           0.0043075,           0.0043075,           0.0043075
                  94,            0.016849,           0.0095302,                   0,             0.95663,             0.98522,              0.9881,             0.73692,             0.01225,            0.005819,                   0,           0.0042456,           0.0042456,           0.0042456
                  95,            0.016983,           0.0098736,                   0,             0.97044,             0.97042,             0.98856,             0.71146,            0.012673,           0.0061398,                   0,           0.0041837,           0.0041837,           0.0041837
                  96,            0.018005,            0.009683,                   0,              0.9799,             0.96054,             0.97997,             0.71257,            0.013008,           0.0060606,                   0,           0.0041219,           0.0041219,           0.0041219
                  97,            0.017724,           0.0096126,                   0,             0.96535,             0.96056,             0.97873,             0.72047,            0.012512,           0.0060823,                   0,             0.00406,             0.00406,             0.00406
                  98,            0.017572,           0.0096105,                   0,             0.96078,             0.96552,             0.96879,             0.73098,            0.012733,           0.0061329,                   0,           0.0039981,           0.0039981,           0.0039981
                  99,            0.016496,           0.0097311,                   0,             0.97059,             0.97529,             0.97921,             0.71935,             0.01256,           0.0060106,                   0,           0.0039362,           0.0039362,           0.0039362
                 100,            0.018008,           0.0097198,                   0,             0.96602,              0.9802,             0.98549,             0.72688,             0.01269,           0.0058565,                   0,           0.0038744,           0.0038744,           0.0038744
                 101,             0.01605,           0.0093416,                   0,             0.97537,             0.97528,             0.98083,             0.72994,            0.012993,           0.0060372,                   0,           0.0038125,           0.0038125,           0.0038125
                 102,            0.016793,           0.0094859,                   0,             0.96114,             0.97537,              0.9797,             0.72804,             0.01282,           0.0061271,                   0,           0.0037506,           0.0037506,           0.0037506
