               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  61,            0.023854,            0.011734,                   0,             0.97003,             0.96059,             0.98767,             0.70418,            0.012822,           0.0053107,                   0,           0.0062875,           0.0062875,           0.0062875
                  62,             0.02199,            0.011611,                   0,             0.95114,             0.96059,             0.98412,               0.706,            0.013246,           0.0052971,                   0,           0.0062256,           0.0062256,           0.0062256
                  63,            0.022148,            0.011871,                   0,             0.95518,             0.95567,             0.98228,             0.68744,            0.013769,           0.0054891,                   0,           0.0061637,           0.0061637,           0.0061637
                  64,            0.023734,            0.011921,                   0,             0.96059,             0.96046,             0.98208,             0.69376,             0.01361,           0.0052558,                   0,           0.0061019,           0.0061019,           0.0061019
                  65,            0.021557,            0.011045,                   0,             0.98429,              0.9261,             0.98371,             0.70437,            0.013397,           0.0052903,                   0,             0.00604,             0.00604,             0.00604
                  66,            0.022888,            0.011699,                   0,             0.93659,             0.95074,             0.97399,             0.70331,            0.013072,           0.0054487,                   0,           0.0059781,           0.0059781,           0.0059781
                  67,            0.021408,            0.011689,                   0,             0.95169,             0.97039,             0.97065,             0.69837,            0.013056,           0.0055491,                   0,           0.0059163,           0.0059163,           0.0059163
                  68,            0.019065,            0.011307,                   0,             0.95586,             0.96059,             0.97552,             0.70062,            0.013243,           0.0053916,                   0,           0.0058544,           0.0058544,           0.0058544
                  69,             0.02173,            0.011646,                   0,             0.94575,             0.94581,             0.97517,             0.71663,             0.01306,           0.0052867,                   0,           0.0057925,           0.0057925,           0.0057925
                  70,            0.020806,            0.011516,                   0,             0.97471,             0.95074,              0.9837,             0.69214,            0.013424,           0.0053248,                   0,           0.0057306,           0.0057306,           0.0057306
